BRAND,PRICE,YEAR,MILEAGE,CONDITION
toyota,6300,2008,274117,10
ford,2899,2011,190552,8
dodge,5350,2018,39590,7
ford,25000,2014,64146,8
chevrolet,27700,2018,6654,4
dodge,5700,2018,45561,4
chevrolet,7300,2010,149050,8
gmc,13350,2017,23525,8
chevrolet,14600,2018,9371,9
ford,5250,2017,63418,5
dodge,10400,2009,107856,7
gmc,12920,2017,39650,6
chevrolet,31900,2018,22909,7
chrysler,5430,2017,138650,10
ford,20700,2013,100757,6
gmc,12710,2017,25747,8
kia,5200,2018,46194,6
buick,16500,2018,20002,9
ford,5210,2017,35714,5
ford,38100,2013,54380,9
gmc,12520,2017,30114,6
kia,7300,2018,38823,8
chevrolet,15000,2015,61578,6
ford,6180,2017,46010,7
ford,20800,2013,105510,8
gmc,11900,2017,28040,7
kia,21500,2020,11451,7
buick,12000,2014,31039,10
ford,4190,2017,44174,9
ford,13000,2008,93698,7
gmc,12710,2017,26364,4
infiniti,18500,2016,71967,7
chevrolet,29800,1973,46226,5
ford,5330,2017,37792,5
ford,13000,2003,58817,5
gmc,11900,2017,27965,4
mercedes-benz,16600,2016,110907,9
chevrolet,19200,2018,2430,6
ford,7320,2017,32366,8
ford,7000,2003,176567,7
gmc,12710,2017,30049,8
mercedes-benz,16600,2016,97983,7
chevrolet,30500,2018,30442,9
ford,6330,2017,38123,6
ford,55000,2017,15273,9
gmc,12520,2017,28972,4
jeep,16200,2019,30061,6
chevrolet,19000,2017,18414,8
dodge,5580,2017,46829,7
ford,54000,2017,26241,9
gmc,12710,2017,39886,10
jeep,16000,2019,31594,6
buick,27000,2017,32107,5
ford,7760,2017,44794,8
chrysler,19600,2019,42648,10
gmc,12920,2017,39165,8
jeep,20000,2019,38355,7
buick,18100,2017,46766,7
chrysler,23000,2020,2473,6
chrysler,18500,2019,38586,5
gmc,13490,2017,27842,8
jeep,20700,2019,31156,10
chevrolet,17800,2017,52435,5
ford,6650,2017,29942,9
chrysler,29100,2019,25281,6
gmc,12710,2017,32504,10
